time,temperature_forecast,forecast_method,confidence,forecast_time
2026-02-16 00:00:00,8.2,NWP,high,2026-02-16 17:46:30.875101
2026-02-16 01:00:00,8.3,NWP,high,2026-02-16 17:46:30.875101
2026-02-16 02:00:00,8.4,NWP,high,2026-02-16 17:46:30.875101
2026-02-16 03:00:00,8.7,NWP,high,2026-02-16 17:46:30.875101
2026-02-16 04:00:00,9.1,NWP,high,2026-02-16 17:46:30.875101
2026-02-16 05:00:00,10.8,NWP,high,2026-02-16 17:46:30.875101
2026-02-16 06:00:00,11.1,NWP,high,2026-02-16 17:46:30.875101
2026-02-16 07:00:00,11.1,NWP,high,2026-02-16 17:46:30.875101
2026-02-16 08:00:00,11.7,NWP,high,2026-02-16 17:46:30.875101
2026-02-16 09:00:00,12.6,NWP,high,2026-02-16 17:46:30.875101
2026-02-16 10:00:00,13.9,NWP,high,2026-02-16 17:46:30.875101
2026-02-16 11:00:00,14.1,NWP,high,2026-02-16 17:46:30.875101
2026-02-16 12:00:00,13.1,NWP,high,2026-02-16 17:46:30.875101
2026-02-16 13:00:00,12.9,NWP,high,2026-02-16 17:46:30.875101
2026-02-16 14:00:00,12.8,NWP,high,2026-02-16 17:46:30.875101
2026-02-16 15:00:00,13.4,NWP,high,2026-02-16 17:46:30.875101
2026-02-16 16:00:00,12.9,NWP,high,2026-02-16 17:46:30.875101
2026-02-16 17:00:00,12.8,NWP,high,2026-02-16 17:46:30.875101
2026-02-16 18:00:00,12.9,NWP,high,2026-02-16 17:46:30.875101
2026-02-16 19:00:00,12.7,NWP,high,2026-02-16 17:46:30.875101
2026-02-16 20:00:00,12.4,NWP,high,2026-02-16 17:46:30.875101
2026-02-16 21:00:00,11.8,NWP,high,2026-02-16 17:46:30.875101
2026-02-16 22:00:00,11.5,NWP,high,2026-02-16 17:46:30.875101
2026-02-16 23:00:00,11.3,NWP,high,2026-02-16 17:46:30.875101
2026-02-17 00:00:00,11.3,NWP,high,2026-02-16 17:46:30.875101
2026-02-17 01:00:00,11.0,NWP,high,2026-02-16 17:46:30.875101
2026-02-17 02:00:00,10.7,NWP,high,2026-02-16 17:46:30.875101
2026-02-17 03:00:00,10.4,NWP,high,2026-02-16 17:46:30.875101
2026-02-17 04:00:00,9.8,NWP,high,2026-02-16 17:46:30.875101
2026-02-17 05:00:00,9.5,NWP,high,2026-02-16 17:46:30.875101
2026-02-17 06:00:00,9.5,NWP,high,2026-02-16 17:46:30.875101
2026-02-17 07:00:00,9.5,NWP,high,2026-02-16 17:46:30.875101
2026-02-17 08:00:00,10.4,NWP,high,2026-02-16 17:46:30.875101
2026-02-17 09:00:00,11.6,NWP,high,2026-02-16 17:46:30.875101
